"TICKER"|"METRIC"|"VALUE"
"GT"|"PAY.RETIRE.QUAL"|"74.63"
"MIDD"|"PAY.RETIRE.QUAL"|"62"
"FLR"|"PAY.RETIRE.QUAL"|"82"
"CDW"|"PAY.RETIRE.QUAL"|"77"
"HP"|"PAY.RETIRE.QUAL"|"74"
"NTAP"|"PAY.RETIRE.QUAL"|"83"
"BWA"|"PAY.RETIRE.QUAL"|"79"
"ITC"|"PAY.RETIRE.QUAL"|"86"
"QRVO"|"PAY.RETIRE.QUAL"|"80"
"ETFC"|"PAY.RETIRE.QUAL"|"75"
"CSGP"|"PAY.RETIRE.QUAL"|"71.61"
"HDS"|"PAY.RETIRE.QUAL"|"68"
"WRB"|"PAY.RETIRE.QUAL"|"81"
"GLPI"|"PAY.RETIRE.QUAL"|"57"
"AVY"|"PAY.RETIRE.QUAL"|"79"
"SPB"|"PAY.RETIRE.QUAL"|"71"
"RPM"|"PAY.RETIRE.QUAL"|"75"
"NWS"|"PAY.RETIRE.QUAL"|"73"
"JKHY"|"PAY.RETIRE.QUAL"|"76"
"WAB"|"PAY.RETIRE.QUAL"|"71"
"SBNY"|"PAY.RETIRE.QUAL"|"83"
"NVR"|"PAY.RETIRE.QUAL"|"65.44"
"LEG"|"PAY.RETIRE.QUAL"|"56.51"
"BBBY"|"PAY.RETIRE.QUAL"|"52"
"TRMB"|"PAY.RETIRE.QUAL"|"78"
"ZAYO"|"PAY.RETIRE.QUAL"|NA
"FLS"|"PAY.RETIRE.QUAL"|"78"
"SIG"|"PAY.RETIRE.QUAL"|"57"
"MNK"|"PAY.RETIRE.QUAL"|"81"
"TE"|"PAY.RETIRE.QUAL"|"77"
"ALLE"|"PAY.RETIRE.QUAL"|"82.86"
"FDS"|"PAY.RETIRE.QUAL"|"79"
"AXTA"|"PAY.RETIRE.QUAL"|"74"
"MD"|"PAY.RETIRE.QUAL"|"81"
"CF"|"PAY.RETIRE.QUAL"|"81"
"IEX"|"PAY.RETIRE.QUAL"|"72.82"
"FANG"|"PAY.RETIRE.QUAL"|NA
"FMC"|"PAY.RETIRE.QUAL"|"81"
"PHM"|"PAY.RETIRE.QUAL"|"77"
"CSL"|"PAY.RETIRE.QUAL"|"70.72"
"JWN"|"PAY.RETIRE.QUAL"|"59"
"ALKS"|"PAY.RETIRE.QUAL"|"83"
"TRGP"|"PAY.RETIRE.QUAL"|"84"
"DPZ"|"PAY.RETIRE.QUAL"|"61"
"KSS"|"PAY.RETIRE.QUAL"|"37"
"ALGN"|"PAY.RETIRE.QUAL"|"83"
"H"|"PAY.RETIRE.QUAL"|"61.92"
"CIT"|"PAY.RETIRE.QUAL"|"86"
"N"|"PAY.RETIRE.QUAL"|"81"
"JEC"|"PAY.RETIRE.QUAL"|"78"
"AFG"|"PAY.RETIRE.QUAL"|"80"
"PPC"|"PAY.RETIRE.QUAL"|"46"
"URI"|"PAY.RETIRE.QUAL"|"72"
"PKG"|"PAY.RETIRE.QUAL"|"76.03"
"ROL"|"PAY.RETIRE.QUAL"|"63"
"OGE"|"PAY.RETIRE.QUAL"|"80"
"STLD"|"PAY.RETIRE.QUAL"|"81"
"DXCM"|"PAY.RETIRE.QUAL"|"69"
"LAMR"|"PAY.RETIRE.QUAL"|"69"
"LUK"|"PAY.RETIRE.QUAL"|"85"
"WTR"|"PAY.RETIRE.QUAL"|"74"
"ARW"|"PAY.RETIRE.QUAL"|"73.02"
"FTI"|"PAY.RETIRE.QUAL"|"82"
"COMM"|"PAY.RETIRE.QUAL"|"83"
"RGA"|"PAY.RETIRE.QUAL"|"86"
"VOYA"|"PAY.RETIRE.QUAL"|"81"
"LII"|"PAY.RETIRE.QUAL"|"73.03"
"SPR"|"PAY.RETIRE.QUAL"|"76"
"SSNC"|"PAY.RETIRE.QUAL"|"78"
"Z"|"PAY.RETIRE.QUAL"|"64"
"WBC"|"PAY.RETIRE.QUAL"|"81"
"ULTI"|"PAY.RETIRE.QUAL"|"77"
"TRU"|"PAY.RETIRE.QUAL"|"82"
"WFT"|"PAY.RETIRE.QUAL"|"77"
"PKI"|"PAY.RETIRE.QUAL"|"81"
"FTNT"|"PAY.RETIRE.QUAL"|"77"
"G"|"PAY.RETIRE.QUAL"|"62.85"
"MIC"|"PAY.RETIRE.QUAL"|"83"
"WLK"|"PAY.RETIRE.QUAL"|"83"
"HUBB"|"PAY.RETIRE.QUAL"|"73.52"
"FTR"|"PAY.RETIRE.QUAL"|"68.29"
"TYL"|"PAY.RETIRE.QUAL"|"72"
"OC"|"PAY.RETIRE.QUAL"|"77.05"
"MIK"|"PAY.RETIRE.QUAL"|"51"
"SPLS"|"PAY.RETIRE.QUAL"|"59"
"WST"|"PAY.RETIRE.QUAL"|"69"
"ZION"|"PAY.RETIRE.QUAL"|"77"
"HLF"|"PAY.RETIRE.QUAL"|"75"
"SGEN"|"PAY.RETIRE.QUAL"|"83"
"KAR"|"PAY.RETIRE.QUAL"|"61"
"RS"|"PAY.RETIRE.QUAL"|"66.58"
"THS"|"PAY.RETIRE.QUAL"|"68.96"
"BKFS"|"PAY.RETIRE.QUAL"|"70"
"JBLU"|"PAY.RETIRE.QUAL"|"76"
"AVT"|"PAY.RETIRE.QUAL"|"68"
"SERV"|"PAY.RETIRE.QUAL"|"65"
"HRB"|"PAY.RETIRE.QUAL"|"68"
"SIX"|"PAY.RETIRE.QUAL"|"58"
"CPRT"|"PAY.RETIRE.QUAL"|"52"
"GRA"|"PAY.RETIRE.QUAL"|"82"
"MKTX"|"PAY.RETIRE.QUAL"|"83"
"CBOE"|"PAY.RETIRE.QUAL"|"83"
"PE"|"PAY.RETIRE.QUAL"|NA
"HAR"|"PAY.RETIRE.QUAL"|"78"
"GDDY"|"PAY.RETIRE.QUAL"|"74"
"LVNTA"|"PAY.RETIRE.QUAL"|"78"
"WOOF"|"PAY.RETIRE.QUAL"|"58"
"MAN"|"PAY.RETIRE.QUAL"|"55.5"
"JLL"|"PAY.RETIRE.QUAL"|"73"
"AIZ"|"PAY.RETIRE.QUAL"|"71"
"OA"|"PAY.RETIRE.QUAL"|"85"
"ACHC"|"PAY.RETIRE.QUAL"|"47"
"ALNY"|"PAY.RETIRE.QUAL"|"83"
"CUBE"|"PAY.RETIRE.QUAL"|"52"
"IM"|"PAY.RETIRE.QUAL"|"65"
"EVHC"|"PAY.RETIRE.QUAL"|"58"
"SIVB"|"PAY.RETIRE.QUAL"|"87"
"PNRA"|"PAY.RETIRE.QUAL"|"47"
"PII"|"PAY.RETIRE.QUAL"|"69.18"
"CRI"|"PAY.RETIRE.QUAL"|"69"
"POST"|"PAY.RETIRE.QUAL"|"61"
"MRVL"|"PAY.RETIRE.QUAL"|"83"
"SCI"|"PAY.RETIRE.QUAL"|"64"
"EWBC"|"PAY.RETIRE.QUAL"|"74"
"ATHN"|"PAY.RETIRE.QUAL"|"75"
"RHI"|"PAY.RETIRE.QUAL"|"47"
"PF"|"PAY.RETIRE.QUAL"|"68.37"
"MUR"|"PAY.RETIRE.QUAL"|"85"
"USFD"|"PAY.RETIRE.QUAL"|"68"
"KEYS"|"PAY.RETIRE.QUAL"|"64.06"
"SWN"|"PAY.RETIRE.QUAL"|"78"
"HAIN"|"PAY.RETIRE.QUAL"|"64"
"BRO"|"PAY.RETIRE.QUAL"|"70"
"ERIE"|"PAY.RETIRE.QUAL"|"74"
"MTN"|"PAY.RETIRE.QUAL"|"52"
"TFSL"|"PAY.RETIRE.QUAL"|"68.71"
"CPN"|"PAY.RETIRE.QUAL"|"84.94"
"ANET"|"PAY.RETIRE.QUAL"|"77"
"AXS"|"PAY.RETIRE.QUAL"|NA
"OPK"|"PAY.RETIRE.QUAL"|"73"
"BEAV"|"PAY.RETIRE.QUAL"|"70.37"
"FSLR"|"PAY.RETIRE.QUAL"|"80"
"PNY"|"PAY.RETIRE.QUAL"|"75"
"ORI"|"PAY.RETIRE.QUAL"|"70"
"ODFL"|"PAY.RETIRE.QUAL"|"63"
"TGNA"|"PAY.RETIRE.QUAL"|"69"
"NDSN"|"PAY.RETIRE.QUAL"|"70.41"
"AN"|"PAY.RETIRE.QUAL"|"57"
"RNR"|"PAY.RETIRE.QUAL"|"92"
"ACM"|"PAY.RETIRE.QUAL"|"78.88"
"ATR"|"PAY.RETIRE.QUAL"|"68"
"PDCO"|"PAY.RETIRE.QUAL"|"57.77"
"EPC"|"PAY.RETIRE.QUAL"|"79"
"NEU"|"PAY.RETIRE.QUAL"|"83"
"UTHR"|"PAY.RETIRE.QUAL"|"84"
"DLB"|"PAY.RETIRE.QUAL"|"86"
"TTC"|"PAY.RETIRE.QUAL"|"71"
"SON"|"PAY.RETIRE.QUAL"|"71"
"BMS"|"PAY.RETIRE.QUAL"|"76.16"
"LYV"|"PAY.RETIRE.QUAL"|"65"
"WSO"|"PAY.RETIRE.QUAL"|"61"
"PINC"|"PAY.RETIRE.QUAL"|"72.64"
"MANH"|"PAY.RETIRE.QUAL"|"78"
"PBCT"|"PAY.RETIRE.QUAL"|"65"
"EPR"|"PAY.RETIRE.QUAL"|NA
"NFG"|"PAY.RETIRE.QUAL"|"78.76"
"DCI"|"PAY.RETIRE.QUAL"|"74"
"SSS"|"PAY.RETIRE.QUAL"|"53"
"GXP"|"PAY.RETIRE.QUAL"|"79"
"BUFF"|"PAY.RETIRE.QUAL"|"55"
"ALSN"|"PAY.RETIRE.QUAL"|"76.96"
"PACW"|"PAY.RETIRE.QUAL"|"70"
"WCG"|"PAY.RETIRE.QUAL"|"68"
"DKS"|"PAY.RETIRE.QUAL"|"56"
"SKX"|"PAY.RETIRE.QUAL"|"50"
"CASY"|"PAY.RETIRE.QUAL"|"55"
"WSM"|"PAY.RETIRE.QUAL"|"60"
"VEEV"|"PAY.RETIRE.QUAL"|"80"
"DNB"|"PAY.RETIRE.QUAL"|"82"
"NUAN"|"PAY.RETIRE.QUAL"|"68"
"TOL"|"PAY.RETIRE.QUAL"|"76"
"GNTX"|"PAY.RETIRE.QUAL"|"63"
"CBSH"|"PAY.RETIRE.QUAL"|"74"
"BURL"|"PAY.RETIRE.QUAL"|"51"
"MDU"|"PAY.RETIRE.QUAL"|"79"
"IPGP"|"PAY.RETIRE.QUAL"|"72"
"EGN"|"PAY.RETIRE.QUAL"|"89"
"NRG"|"PAY.RETIRE.QUAL"|"82"
"RLGY"|"PAY.RETIRE.QUAL"|"69"
"BERY"|"PAY.RETIRE.QUAL"|"61.92"
"HHC"|"PAY.RETIRE.QUAL"|"68.73"
"ACAD"|"PAY.RETIRE.QUAL"|"84"
"GGG"|"PAY.RETIRE.QUAL"|"77"
"ENH"|"PAY.RETIRE.QUAL"|"84"
"MSM"|"PAY.RETIRE.QUAL"|"66"
"STR"|"PAY.RETIRE.QUAL"|"82"
"FEIC"|"PAY.RETIRE.QUAL"|"80"
"HTZ"|"PAY.RETIRE.QUAL"|"58"
"GWRE"|"PAY.RETIRE.QUAL"|"86"
"AMCX"|"PAY.RETIRE.QUAL"|"85"
"IAC"|"PAY.RETIRE.QUAL"|"73"
"ABMD"|"PAY.RETIRE.QUAL"|"80"
"HFC"|"PAY.RETIRE.QUAL"|"87"
"AFSI"|"PAY.RETIRE.QUAL"|"66"
"AGCO"|"PAY.RETIRE.QUAL"|"70.96"
"JUNO"|"PAY.RETIRE.QUAL"|NA
"PTC"|"PAY.RETIRE.QUAL"|"80"
"ARRS"|"PAY.RETIRE.QUAL"|"81"
"AMSG"|"PAY.RETIRE.QUAL"|"62"
"FLIR"|"PAY.RETIRE.QUAL"|"82"
"BAH"|"PAY.RETIRE.QUAL"|"82"
"RGLD"|"PAY.RETIRE.QUAL"|NA
"VVC"|"PAY.RETIRE.QUAL"|"77"
"CAA"|"PAY.RETIRE.QUAL"|"77"
"SBH"|"PAY.RETIRE.QUAL"|"52"
"BIO"|"PAY.RETIRE.QUAL"|"81"
"BC"|"PAY.RETIRE.QUAL"|"79.22"
"TECH"|"PAY.RETIRE.QUAL"|"62.03"
"DNKN"|"PAY.RETIRE.QUAL"|"79"
"MSG"|"PAY.RETIRE.QUAL"|"71.08"
"BRCD"|"PAY.RETIRE.QUAL"|"84"
"LAZ"|"PAY.RETIRE.QUAL"|"84"
"FAF"|"PAY.RETIRE.QUAL"|"72"
"CONE"|"PAY.RETIRE.QUAL"|"76"
"QEP"|"PAY.RETIRE.QUAL"|"87"
"LECO"|"PAY.RETIRE.QUAL"|"77"
"GPK"|"PAY.RETIRE.QUAL"|"73.78"
"WTM"|"PAY.RETIRE.QUAL"|"84"
"SMG"|"PAY.RETIRE.QUAL"|"70"
"GPOR"|"PAY.RETIRE.QUAL"|"80"
"RIG"|"PAY.RETIRE.QUAL"|"82"
"ON"|"PAY.RETIRE.QUAL"|"80"
"NBIX"|"PAY.RETIRE.QUAL"|"82"
"NAVI"|"PAY.RETIRE.QUAL"|"62"
"EEFT"|"PAY.RETIRE.QUAL"|"74"
"DATA"|"PAY.RETIRE.QUAL"|"77"
"TER"|"PAY.RETIRE.QUAL"|"83"
"CRL"|"PAY.RETIRE.QUAL"|"73"
"CSAL"|"PAY.RETIRE.QUAL"|NA
"CXW"|"PAY.RETIRE.QUAL"|"61"
"MTCH"|"PAY.RETIRE.QUAL"|"73"
"EV"|"PAY.RETIRE.QUAL"|"88"
"HXL"|"PAY.RETIRE.QUAL"|"56"
"BOKF"|"PAY.RETIRE.QUAL"|"76"
"CFR"|"PAY.RETIRE.QUAL"|"72.11"
"CNK"|"PAY.RETIRE.QUAL"|"54"
"DST"|"PAY.RETIRE.QUAL"|"71.9"
"VWR"|"PAY.RETIRE.QUAL"|"75"
"HEI"|"PAY.RETIRE.QUAL"|"71"
"USG"|"PAY.RETIRE.QUAL"|"71"
"BRKR"|"PAY.RETIRE.QUAL"|"81"
"CSRA"|"PAY.RETIRE.QUAL"|"73"
"ENDP"|"PAY.RETIRE.QUAL"|"79"
"CBI"|"PAY.RETIRE.QUAL"|"75.43"
"EXP"|"PAY.RETIRE.QUAL"|"73.7"
"VR"|"PAY.RETIRE.QUAL"|"84"
"POOL"|"PAY.RETIRE.QUAL"|"70"
"FLO"|"PAY.RETIRE.QUAL"|"68.71"
"SNV"|"PAY.RETIRE.QUAL"|"54.77"
"KEX"|"PAY.RETIRE.QUAL"|"71.73"
"ALR"|"PAY.RETIRE.QUAL"|"71"
"SC"|"PAY.RETIRE.QUAL"|"68"
"HE"|"PAY.RETIRE.QUAL"|"76"
"NCR"|"PAY.RETIRE.QUAL"|"75"
"BWXT"|"PAY.RETIRE.QUAL"|"79"
"HUN"|"PAY.RETIRE.QUAL"|"80.91"
"AKRX"|"PAY.RETIRE.QUAL"|"66"
"SATS"|"PAY.RETIRE.QUAL"|"80"
"THG"|"PAY.RETIRE.QUAL"|"80"
"GWR"|"PAY.RETIRE.QUAL"|"60"
"FNFG"|"PAY.RETIRE.QUAL"|"70.41"
"CGNX"|"PAY.RETIRE.QUAL"|"80"
"TDC"|"PAY.RETIRE.QUAL"|"84"
"NATI"|"PAY.RETIRE.QUAL"|"78"
"JBL"|"PAY.RETIRE.QUAL"|"73"
"WAL"|"PAY.RETIRE.QUAL"|"70"
"TPX"|"PAY.RETIRE.QUAL"|"53"
"ICPT"|"PAY.RETIRE.QUAL"|NA
"CACC"|"PAY.RETIRE.QUAL"|"72"
"WEX"|"PAY.RETIRE.QUAL"|"72"
"MORN"|"PAY.RETIRE.QUAL"|"81"
"PWR"|"PAY.RETIRE.QUAL"|"59"
"LDOS"|"PAY.RETIRE.QUAL"|"83"
"CFX"|"PAY.RETIRE.QUAL"|"78"
"R"|"PAY.RETIRE.QUAL"|"63"
"AGO"|"PAY.RETIRE.QUAL"|"90"
"SFM"|"PAY.RETIRE.QUAL"|"46"
"THO"|"PAY.RETIRE.QUAL"|"46"
"PBI"|"PAY.RETIRE.QUAL"|"71"
"TRCO"|"PAY.RETIRE.QUAL"|"78.71"
"RES"|"PAY.RETIRE.QUAL"|"66"
"DO"|"PAY.RETIRE.QUAL"|"89"
"CAB"|"PAY.RETIRE.QUAL"|"56"
"CR"|"PAY.RETIRE.QUAL"|"75"
"CLGX"|"PAY.RETIRE.QUAL"|"72"
"OMF"|"PAY.RETIRE.QUAL"|"69"
"FI"|"PAY.RETIRE.QUAL"|"68"
"RICE"|"PAY.RETIRE.QUAL"|NA
"RRD"|"PAY.RETIRE.QUAL"|"61"
"OSK"|"PAY.RETIRE.QUAL"|"75.07"
"BKU"|"PAY.RETIRE.QUAL"|"75"
"MRD"|"PAY.RETIRE.QUAL"|"80"
"CY"|"PAY.RETIRE.QUAL"|"76"
"LM"|"PAY.RETIRE.QUAL"|"88"
"WPX"|"PAY.RETIRE.QUAL"|"87"
"AWH"|"PAY.RETIRE.QUAL"|"86"
"CST"|"PAY.RETIRE.QUAL"|"54"
"HRC"|"PAY.RETIRE.QUAL"|"72.93"
"USM"|"PAY.RETIRE.QUAL"|"68.88"
"ESV"|"PAY.RETIRE.QUAL"|"83"
"FII"|"PAY.RETIRE.QUAL"|"80"
"LGF"|"PAY.RETIRE.QUAL"|"75"
"ITT"|"PAY.RETIRE.QUAL"|"81"
"FHN"|"PAY.RETIRE.QUAL"|"72"
"OII"|"PAY.RETIRE.QUAL"|"78"
"RYN"|"PAY.RETIRE.QUAL"|"83.92"
"RGC"|"PAY.RETIRE.QUAL"|"52"
"OUT"|"PAY.RETIRE.QUAL"|"74"
"ANAT"|"PAY.RETIRE.QUAL"|"69"
"INT"|"PAY.RETIRE.QUAL"|"72"
"PTEN"|"PAY.RETIRE.QUAL"|"64"
"CNX"|"PAY.RETIRE.QUAL"|"83"
"SAVE"|"PAY.RETIRE.QUAL"|"78.51"
"URBN"|"PAY.RETIRE.QUAL"|"51"
"OI"|"PAY.RETIRE.QUAL"|"75.16"
"TDS"|"PAY.RETIRE.QUAL"|"68.88"
"SLGN"|"PAY.RETIRE.QUAL"|"72.13"
"VMI"|"PAY.RETIRE.QUAL"|"70"
"BKD"|"PAY.RETIRE.QUAL"|"49"
"PAG"|"PAY.RETIRE.QUAL"|"62"
"BPOP"|"PAY.RETIRE.QUAL"|"70"
"CLH"|"PAY.RETIRE.QUAL"|"70"
"ENR"|"PAY.RETIRE.QUAL"|"79"
"SQ"|"PAY.RETIRE.QUAL"|"72"
"CAR"|"PAY.RETIRE.QUAL"|"60.7"
"STAY"|"PAY.RETIRE.QUAL"|NA
"BOH"|"PAY.RETIRE.QUAL"|"80"
"XON"|"PAY.RETIRE.QUAL"|"79"
"CHK"|"PAY.RETIRE.QUAL"|"85"
"NBR"|"PAY.RETIRE.QUAL"|"62"
"LPNT"|"PAY.RETIRE.QUAL"|"60.4"
"ZBRA"|"PAY.RETIRE.QUAL"|"71"
"VSTO"|"PAY.RETIRE.QUAL"|"79"
"CBT"|"PAY.RETIRE.QUAL"|"86"
"WLL"|"PAY.RETIRE.QUAL"|"83"
"MCY"|"PAY.RETIRE.QUAL"|"72"
"CABO"|"PAY.RETIRE.QUAL"|"62.33"
"FIT"|"PAY.RETIRE.QUAL"|NA
"RAX"|"PAY.RETIRE.QUAL"|"76"
"AL"|"PAY.RETIRE.QUAL"|NA
"JW/A"|"PAY.RETIRE.QUAL"|"81"
"TUP"|"PAY.RETIRE.QUAL"|"75"
"GHC"|"PAY.RETIRE.QUAL"|"62.33"
"SPN"|"PAY.RETIRE.QUAL"|"66"
"AHL"|"PAY.RETIRE.QUAL"|"88"
"LSTR"|"PAY.RETIRE.QUAL"|"70"
"THC"|"PAY.RETIRE.QUAL"|"64"
"PRA"|"PAY.RETIRE.QUAL"|"83"
"TRN"|"PAY.RETIRE.QUAL"|"62"
"MUSA"|"PAY.RETIRE.QUAL"|"59.77"
"IONS"|"PAY.RETIRE.QUAL"|"83"
"SLM"|"PAY.RETIRE.QUAL"|"87"
"GME"|"PAY.RETIRE.QUAL"|"48"
"CMP"|"PAY.RETIRE.QUAL"|"80"
"WEN"|"PAY.RETIRE.QUAL"|"52"
"INOV"|"PAY.RETIRE.QUAL"|"37"
"ASB"|"PAY.RETIRE.QUAL"|"74"
"EAT"|"PAY.RETIRE.QUAL"|NA
"LPI"|"PAY.RETIRE.QUAL"|"82"
"TKR"|"PAY.RETIRE.QUAL"|"75.91"
"RBC"|"PAY.RETIRE.QUAL"|"69"
"FEYE"|"PAY.RETIRE.QUAL"|"73"
"CHH"|"PAY.RETIRE.QUAL"|"79"
"STRZA"|"PAY.RETIRE.QUAL"|"81"
"P"|"PAY.RETIRE.QUAL"|"72"
"KATE"|"PAY.RETIRE.QUAL"|"72"
"CREE"|"PAY.RETIRE.QUAL"|"73"
"JCP"|"PAY.RETIRE.QUAL"|"49"
"VC"|"PAY.RETIRE.QUAL"|"87"
"X"|"PAY.RETIRE.QUAL"|"61.06"
"MDRX"|"PAY.RETIRE.QUAL"|"80"
"WCC"|"PAY.RETIRE.QUAL"|"71"
"PBF"|"PAY.RETIRE.QUAL"|"85"
"LXK"|"PAY.RETIRE.QUAL"|"85"
"DRQ"|"PAY.RETIRE.QUAL"|"73"
"UFS"|"PAY.RETIRE.QUAL"|"81.6"
"ZNGA"|"PAY.RETIRE.QUAL"|"74"
"CCO"|"PAY.RETIRE.QUAL"|"54"
"MFS"|"PAY.RETIRE.QUAL"|"69.73"
"TEX"|"PAY.RETIRE.QUAL"|"72"
"APAM"|"PAY.RETIRE.QUAL"|"90"
"RDC"|"PAY.RETIRE.QUAL"|"82"
"NUS"|"PAY.RETIRE.QUAL"|"71"
"TCB"|"PAY.RETIRE.QUAL"|"67"
"AWI"|"PAY.RETIRE.QUAL"|"72.88"
"NE"|"PAY.RETIRE.QUAL"|"79.76"
"PAY"|"PAY.RETIRE.QUAL"|"80"
"KOS"|"PAY.RETIRE.QUAL"|"88"
"CVA"|"PAY.RETIRE.QUAL"|"80.23"
"LPLA"|"PAY.RETIRE.QUAL"|"75"
"NSAM"|"PAY.RETIRE.QUAL"|NA
"SPWR"|"PAY.RETIRE.QUAL"|"81"
"YELP"|"PAY.RETIRE.QUAL"|"65"
"SCTY"|"PAY.RETIRE.QUAL"|"55"
"PAH"|"PAY.RETIRE.QUAL"|"77"
"KBR"|"PAY.RETIRE.QUAL"|"76.86"
"SM"|"PAY.RETIRE.QUAL"|"83"
"DDS"|"PAY.RETIRE.QUAL"|"55"
"AGIO"|"PAY.RETIRE.QUAL"|NA
"GRPN"|"PAY.RETIRE.QUAL"|"61"
"AAPL"|"CUST.RELS.ACSI"|"82.5"
"GOOG"|"CUST.RELS.ACSI"|"76.33"
"MSFT"|"CUST.RELS.ACSI"|"73.75"
"XOM"|"CUST.RELS.ACSI"|NA
"BRK.B"|"CUST.RELS.ACSI"|"74.5"
"AMZN"|"CUST.RELS.ACSI"|"80.5"
"FB"|"CUST.RELS.ACSI"|"75.5"
"JNJ"|"CUST.RELS.ACSI"|NA
"GE"|"CUST.RELS.ACSI"|"82"
"T"|"CUST.RELS.ACSI"|"68.4"
"WFC"|"CUST.RELS.ACSI"|"75"
"JPM"|"CUST.RELS.ACSI"|"71"
"PG"|"CUST.RELS.ACSI"|"75"
"WMT"|"CUST.RELS.ACSI"|"69.25"
"VZ"|"CUST.RELS.ACSI"|"72"
"PFE"|"CUST.RELS.ACSI"|NA
"KO"|"CUST.RELS.ACSI"|"79"
"CVX"|"CUST.RELS.ACSI"|NA
"V"|"CUST.RELS.ACSI"|NA
"ORCL"|"CUST.RELS.ACSI"|NA
"DIS"|"CUST.RELS.ACSI"|"74"
"HD"|"CUST.RELS.ACSI"|"73"
"MRK"|"CUST.RELS.ACSI"|NA
"PM"|"CUST.RELS.ACSI"|NA
"CMCSA"|"CUST.RELS.ACSI"|"65"
"INTC"|"CUST.RELS.ACSI"|NA
"PEP"|"CUST.RELS.ACSI"|"79"
"CSCO"|"CUST.RELS.ACSI"|NA
"IBM"|"CUST.RELS.ACSI"|NA
"BAC"|"CUST.RELS.ACSI"|"70.5"
"UNH"|"CUST.RELS.ACSI"|"66"
"MO"|"CUST.RELS.ACSI"|NA
"C"|"CUST.RELS.ACSI"|"73"
"BMY"|"CUST.RELS.ACSI"|NA
"MDT"|"CUST.RELS.ACSI"|NA
"AMGN"|"CUST.RELS.ACSI"|NA
"GILD"|"CUST.RELS.ACSI"|NA
"SLB"|"CUST.RELS.ACSI"|NA
"MCD"|"CUST.RELS.ACSI"|"69"
"CVS"|"CUST.RELS.ACSI"|"71"
"MA"|"CUST.RELS.ACSI"|NA
"KHC"|"CUST.RELS.ACSI"|"80"
"MMM"|"CUST.RELS.ACSI"|NA
"ABBV"|"CUST.RELS.ACSI"|NA
"AGN"|"CUST.RELS.ACSI"|NA
"UPS"|"CUST.RELS.ACSI"|"80"
"NKE"|"CUST.RELS.ACSI"|"78"
"WBA"|"CUST.RELS.ACSI"|"74"
"HON"|"CUST.RELS.ACSI"|NA
"UTX"|"CUST.RELS.ACSI"|NA
"BA"|"CUST.RELS.ACSI"|NA
"LLY"|"CUST.RELS.ACSI"|NA
"SBUX"|"CUST.RELS.ACSI"|"75"
"CELG"|"CUST.RELS.ACSI"|NA
"QCOM"|"CUST.RELS.ACSI"|NA
"ACN"|"CUST.RELS.ACSI"|NA
"UNP"|"CUST.RELS.ACSI"|NA
"LMT"|"CUST.RELS.ACSI"|NA
"RAI"|"CUST.RELS.ACSI"|NA
"USB"|"CUST.RELS.ACSI"|"76"
"MDLZ"|"CUST.RELS.ACSI"|NA
"COST"|"CUST.RELS.ACSI"|"81"
"DHR"|"CUST.RELS.ACSI"|NA
"LOW"|"CUST.RELS.ACSI"|"74"
"PCLN"|"CUST.RELS.ACSI"|"81"
"CL"|"CUST.RELS.ACSI"|"79"
"GS"|"CUST.RELS.ACSI"|NA
"AVGO"|"CUST.RELS.ACSI"|NA
"TXN"|"CUST.RELS.ACSI"|NA
"AIG"|"CUST.RELS.ACSI"|NA
"CHTR"|"CUST.RELS.ACSI"|"65.5"
"DOW"|"CUST.RELS.ACSI"|NA
"TMO"|"CUST.RELS.ACSI"|NA
"AXP"|"CUST.RELS.ACSI"|NA
"CB"|"CUST.RELS.ACSI"|NA
"NEE"|"CUST.RELS.ACSI"|"76"
"DD"|"CUST.RELS.ACSI"|NA
"OXY"|"CUST.RELS.ACSI"|NA
"TWX"|"CUST.RELS.ACSI"|"65.5"
"DUK"|"CUST.RELS.ACSI"|"70"
"BLK"|"CUST.RELS.ACSI"|NA
"ABT"|"CUST.RELS.ACSI"|NA
"CRM"|"CUST.RELS.ACSI"|NA
"COP"|"CUST.RELS.ACSI"|NA
"FOX"|"CUST.RELS.ACSI"|"76"
"EMC"|"CUST.RELS.ACSI"|NA
"BIIB"|"CUST.RELS.ACSI"|NA
"F"|"CUST.RELS.ACSI"|"81"
"TJX"|"CUST.RELS.ACSI"|"78"
"ADBE"|"CUST.RELS.ACSI"|NA
"SO"|"CUST.RELS.ACSI"|"76"
"KMB"|"CUST.RELS.ACSI"|NA
"MS"|"CUST.RELS.ACSI"|NA
"ESRX"|"CUST.RELS.ACSI"|NA
"MON"|"CUST.RELS.ACSI"|NA
"MET"|"CUST.RELS.ACSI"|"75"
"AMT"|"CUST.RELS.ACSI"|NA
"EOG"|"CUST.RELS.ACSI"|NA
"D"|"CUST.RELS.ACSI"|"74"
"PYPL"|"CUST.RELS.ACSI"|NA
"GM"|"CUST.RELS.ACSI"|"79.25"
"CAT"|"CUST.RELS.ACSI"|NA
"BK"|"CUST.RELS.ACSI"|NA
"SYK"|"CUST.RELS.ACSI"|NA
"FDX"|"CUST.RELS.ACSI"|"82"
"GD"|"CUST.RELS.ACSI"|NA
"PNC"|"CUST.RELS.ACSI"|"78"
"AET"|"CUST.RELS.ACSI"|"68"
"PSX"|"CUST.RELS.ACSI"|NA
"PSA"|"CUST.RELS.ACSI"|NA
"MCK"|"CUST.RELS.ACSI"|NA
