BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
assistant manager,14.58,16.98,16.46,19.13,20.81,16.62,13.82,19.63,17.88,19.81,13.23,14.25,24.85,17.65,22.40,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14
cashier,7.70,7.51,8.87,8.40,,,7.43,8.46,,,7.31,7.65,,7.64,,6.93,7.19,,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
cook,8.18,9.60,9.00,10.37,11.64,10.90,7.55,10.78,,,7.88,,,,11.45,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8
film crew member,7.90,7.66,9.35,8.60,,,7.43,,,,,,,,,,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
general manager,20.71,23.58,23.27,25.97,26.41,24.48,20.45,31.94,,28.03,18.96,15.41,30.04,21.10,28.44,,21.48,18.17,19.67,15.62,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16
line cook,8.38,9.51,9.25,10.43,11.48,10.54,8.39,8.96,,10.71,7.45,,10.72,7.83,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10
manager,17.05,28.18,20.03,32.72,33.31,36.55,23.17,26.10,37.86,45.19,29.08,16.00,37.44,18.76,23.71,9.10,25.43,10.58,46.65,14.50,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19
prep cook,7.95,8.36,9.00,9.13,,,7.39,8.73,,,,,,,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
team member,7.78,7.43,9.10,8.36,,,7.42,,,,7.46,7.37,,7.89,,6.65,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
waiter,8.00,6.40,9.25,7.28,8.20,,,,,,5.22,,4.99,,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
SCORE,53.8,56/104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPZ,Domino's Pizza Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
assistant manager,9.14,16.98,9.91,19.13,20.81,16.62,13.82,19.63,17.88,19.81,13.23,14.25,24.85,17.65,22.40,14.58,,13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14
cashier,7.29,7.51,8.36,8.40,,,7.43,8.46,,,7.31,7.65,,7.64,,7.70,6.93,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9
customer service representative,7.17,9.19,7.89,9.95,10.94,11.55,8.57,,,,7.53,9.09,,,,,,,,,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
general manager,15.62,23.58,16.49,25.97,26.41,24.48,20.45,31.94,,28.03,18.96,15.41,30.04,21.10,28.44,20.71,,21.48,18.17,19.67,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16
manager,14.50,28.18,15.39,32.72,33.31,36.55,23.17,26.10,37.86,45.19,29.08,16.00,37.44,18.76,23.71,17.05,9.10,25.43,10.58,46.65,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19
shift manager,9.07,9.90,9.08,10.55,,,9.32,12.67,,,9.21,9.73,,10.18,,,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
store manager,13.19,17.19,14.54,19.16,,,18.84,18.44,,,15.71,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
SCORE,15.6,12/77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRI,Darden Restaurants Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
assistant manager,24.85,16.98,24.15,19.13,20.81,16.62,13.82,19.63,17.88,19.81,13.23,14.25,17.65,22.40,14.58,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14
bartender,6.75,7.92,7.63,8.70,8.51,7.34,,9.50,9.22,9.00,,,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
financial analyst,36.47,32.11,36.05,35.47,,,,25.71,30.79,,,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
food server,5.13,6.75,5.74,7.87,8.92,,8.36,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
food service manager,24.20,17.99,25.71,20.05,,,,22.07,,,,,,,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
front desk agent,8.29,9.35,9.68,10.71,10.07,9.42,,,10.60,10.60,,,,,,,,8.72,8.37,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8
general manager,30.04,23.58,31.76,25.97,26.41,24.48,20.45,31.94,,28.03,18.96,15.41,21.10,28.44,20.71,,21.48,18.17,19.67,15.62,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16
host,8.23,8.23,9.17,9.50,9.77,,,,,,,,7.56,8.29,,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
line cook,10.72,9.51,11.66,10.43,11.48,10.54,8.39,8.96,,10.71,7.45,,7.83,10.66,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10
manager,37.44,28.18,39.45,32.72,33.31,36.55,23.17,26.10,37.86,45.19,29.08,16.00,18.76,23.71,17.05,9.10,25.43,10.58,46.65,14.50,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19
restaurant manager,22.48,18.24,24.54,19.93,14.63,18.08,18.38,,,,17.31,,18.47,22.92,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
sales manager,21.50,21.62,26.00,25.74,21.20,21.11,,,21.64,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
server,5.59,6.90,6.38,7.75,7.57,7.56,7.25,8.90,8.10,7.62,4.46,,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9
software engineer h1b,59.83,48.91,63.12,57.10,43.18,,,,47.52,,,48.26,,,,,,,45.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
waiter,4.99,6.40,5.59,7.28,8.20,,,,,,5.22,,,5.59,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
SCORE,69.7,85/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAT,Brinker International Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
assistant manager,22.40,16.98,24.16,19.13,20.81,16.62,13.82,19.63,17.88,19.81,13.23,14.25,24.85,17.65,14.58,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14
banquet server,11.24,11.25,12.76,12.21,11.60,10.97,,,12.90,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
bartender,5.13,7.92,5.62,8.70,8.51,7.34,,9.50,9.22,9.00,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
cook,11.45,9.60,11.60,10.37,11.64,10.90,7.55,10.78,,,7.88,,,,8.18,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
food server,4.58,6.75,5.18,7.87,8.92,,8.36,,,,,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
general manager,28.44,23.58,30.92,25.97,26.41,24.48,20.45,31.94,,28.03,18.96,15.41,30.04,21.10,20.71,,21.48,18.17,19.67,15.62,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,16
host,8.29,8.23,8.86,9.50,9.77,,,,,,,,8.23,7.56,,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
line cook,10.66,9.51,10.95,10.43,11.48,10.54,8.39,8.96,,10.71,7.45,,10.72,7.83,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
manager,23.71,28.18,25.73,32.72,33.31,36.55,23.17,26.10,37.86,45.19,29.08,16.00,37.44,18.76,17.05,9.10,25.43,10.58,46.65,14.50,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19
prep cook,9.36,8.36,9.89,9.13,,,7.39,8.73,,,,,,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
restaurant manager,22.92,18.24,24.20,19.93,14.63,18.08,18.38,,,,17.31,,22.48,18.47,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
server,5.03,6.90,5.59,7.75,7.57,7.56,7.25,8.90,8.10,7.62,4.46,,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9
waiter,5.59,6.40,5.91,7.28,8.20,,,,,,5.22,,4.99,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
SCORE,64.9,74/114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Hyatt Hotels Corp,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
accountant,22.79,24.82,26.41,29.07,23.79,,26.82,20.19,28.19,,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
administrative assistant,13.18,14.36,16.02,16.59,14.79,13.29,14.30,13.36,,20.17,,,,,,,,,,,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
assistant manager,19.81,16.98,23.93,19.13,20.81,16.62,13.82,19.63,17.88,13.23,14.25,24.85,17.65,22.40,14.58,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14
banquet server,9.55,11.25,10.30,12.21,11.60,10.97,,,12.90,,,,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
bartender,9.00,7.92,10.07,8.70,8.51,7.34,,9.50,9.22,,,6.75,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7
concierge,10.30,10.59,11.68,11.97,11.69,9.69,,,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
event manager,21.27,21.77,30.10,27.84,22.44,21.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
food and beverage manager,21.25,18.84,24.01,22.43,18.81,19.74,,15.60,18.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
front desk agent,10.60,9.35,12.74,10.71,10.07,9.42,,,10.60,,,8.29,,,,,,8.72,8.37,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
front desk clerk,10.19,9.10,11.46,9.69,9.67,9.30,,,,,,,,,,,,8.10,8.74,,,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
general manager,28.03,23.58,31.64,25.97,26.41,24.48,20.45,31.94,,18.96,15.41,30.04,21.10,28.44,20.71,,21.48,18.17,19.67,15.62,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16
group sales manager,20.61,20.83,26.89,26.37,19.25,,,,22.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
guest service agent,11.27,10.25,11.50,11.88,9.77,9.51,,,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
guest services,9.63,9.52,10.47,10.69,9.80,9.27,,,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
hotel manager,24.87,25.05,31.74,31.07,20.25,22.83,,,38.14,,,,,,,,,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
housekeeping manager,16.61,16.27,18.86,18.61,14.35,13.70,,17.64,19.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
lifeguard,9.50,8.67,10.96,9.77,9.45,,,,,,,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
line cook,10.71,9.51,12.17,10.43,11.48,10.54,8.39,8.96,,7.45,,10.72,7.83,10.66,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10
manager,45.19,28.18,51.22,32.72,33.31,36.55,23.17,26.10,37.86,29.08,16.00,37.44,18.76,23.71,17.05,9.10,25.43,10.58,46.65,14.50,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19
night auditor,10.48,9.94,12.21,11.17,10.19,9.87,,,12.65,,,,,,,,,8.36,8.63,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
office manager,16.42,15.72,20.00,18.70,16.15,16.42,,,16.15,,,,,,,,,,,,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
revenue manager,25.43,26.23,34.80,31.29,21.91,29.62,,,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
sales coordinator,13.54,13.12,14.70,15.19,13.56,12.32,,,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
sales manager,22.67,21.62,27.12,25.74,21.20,21.11,,,21.64,,,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
security officer,10.17,9.40,12.20,11.37,,10.38,,,,,,,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
server,7.62,6.90,8.88,7.75,7.57,7.56,7.25,8.90,8.10,4.46,,5.59,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9
SCORE,74.9,128/171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLT,Hilton Worldwide Holdings Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
